question,actual results,our results
In which city was the president of Montenegro born?,birthPlace,birthPlace/almaMater/country
Which cities does the Weser flow through?,city,associatedBand/successor/team
List all the musicals with music by Elton John.,musicBy,associatedBand/associatedMusicalArtist/child
What is the biggest stadium in Spain?,location,location/owner/almaMater
Did Che Guevara have children?,child,child/successor/birthPlace
What is the capital of Cameroon?,capital,country/birthPlace/deathPlace
Which computer scientist won an oscar?,field/award,team/formerTeam/birthPlace
Who is the king of the Netherlands?,leader,predecessor/parent/birthPlace
Who was John F. Kennedy's vice president?,vicePresident,team/occupation/president
Who was the doctoral supervisor of Albert Einstein?,doctoralAdvisor,almaMater/country/birthPlace
Which movies starring Mickey Rourke were directed by Guy Ritchie?,starring/director,starring/associatedMusicalArtist/associatedBand
Which of Tim Burton's films had the highest budget?,director,team/award/formerTeam
Which airports does Yeti Airlines serve?,targetAirport,headquarter/birthPlace/deathPlace
In which city are the headquarters of the United Nations?,location,country/birthPlace/associatedBand
Give me all professional skateboarders from Sweden.,occupation/birthPlace/birthPlace/country,associatedBand/associatedMusicalArtist/successor
Give me all members of Prodigy.,bandMember,successor/associatedBand/associatedMusicalArtist
Give me the grandchildren of Elvis Presley.,child/child,child/spouse/predecessor
What did Bruce Carver die from?,deathCause,successor/team/predecessor
