question,actual results,our results
In which country is Mecca located?,country,location/country/state
Who developed Slack?,product,developer/publisher/influencedBy
Give me all books by William Goldman with more than 300 pages.,author,nationality/associatedBand/associatedMusicalArtist
Which professional surfers were born in Australia?,occupation/birthPlace,parent/birthPlace/known
Who is the mayor of Rotterdam?,leaderName,party/birthPlace/residence
What was the first Queen album?,artist,album/associatedMusicalArtist/associatedBand
What is the largest city in Australia?,largestCity,city/location/country
Give me all launch pads operated by NASA.,operator,operated/party/owner
In which city did John F. Kennedy die?,deathPlace,city/influencedBy/associatedBand
In which city does Sylvester Stallone live?,residence,associatedBand/associatedMusicalArtist/influencedBy
Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,subsidiary/targetAirport/targetAirport,subsidiary/parentCompany/owner
Give me all movies directed by Francis Ford Coppola.,director,director/starring/writer
Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,knownFor/knownFor,known/associatedBand/associatedMusicalArtist
Is Christian Bale starring in Batman Begins?,starring,starring/award/birthPlace
Does the Isar flow into a lake?,inflow,garrison/riverMouth/sourceCountry
Give me all Canadian Grunge record labels.,genre/country,recordLabel/producer/artist
Show me the book that Muhammad Ali wrote.,author,spouse/influencedBy/associatedMusicalArtist
Where in France is sparkling wine produced?,location,starring/associatedMusicalArtist/associatedBand
Who was Vincent van Gogh inspired by?,influenced,influenced/influencedBy/team
What country is Mount Everest in?,locatedInArea,country/associatedBand/associatedMusicalArtist
Was the wife of president Lincoln called Mary?,spouse,child/spouse/parent
Did Elvis Presley have children?,child,child/associatedMusicalArtist/associatedBand
In which city does the Chile Route 68 end?,routeEnd,associatedBand/associatedMusicalArtist/influencedBy
Who developed the video game World of Warcraft?,developer,developer/associatedBand/associatedMusicalArtist
List all games by GMT.,publisher,team/formerTeam/associatedBand
Who composed the soundtrack for Cameron's Titanic?,musicComposer,team/recordLabel/computingPlatform
Which professional surfers were born on the Philippines?,occupation/birthPlace,known/birthPlace/deathPlace
Give me all Swedish oceanographers.,field/birthPlace,partner/influencedBy/doctoralAdvisor
Which country was Bill Gates born in?,birthPlace/country,country/birthPlace/known
Which television shows were created by Walt Disney?,creator,creator/associatedMusicalArtist/associatedBand
How many languages are spoken in Colombia?,language,spouse/birthPlace/nationality
For which label did Elvis record his first album?,artist/recordLabel,associatedBand/associatedMusicalArtist/president
Where does Piccadilly start?,routeStart,party/team/associatedBand
How many languages are spoken in Turkmenistan?,language,spouse/birthPlace/nationality
Who wrote the book Les Piliers de la terre?,author,writer/residence/spouse
To which artistic movement did the painter of The Three Dancers belong?,author,team/partner/influencedBy
Who wrote the song Hotel California?,writer,writer/influencedBy/associatedMusicalArtist
List all episodes of the first season of the HBO television series The Sopranos.,series,team/formerTeam/series
Is Barack Obama a democrat?,party,birthPlace/successor/party
List all episodes of the first season of the HBO television series The Sopranos!,series,team/formerTeam/series
Who is the mayor of Tel Aviv?,leaderName,party/birthPlace/residence
In what city is the Heineken brewery?,manufacturer/locationCity,city/country/associatedMusicalArtist
In which city did Nikos Kazantzakis die?,deathPlace,city/associatedMusicalArtist/associatedBand
Which companies produce hovercrafts?,product,product/associatedBand/associatedMusicalArtist
Did Tesla win a nobel prize in physics?,award,team/birthPlace/college
Which Indian company has the most employees?,location,employer/location/associatedBand
Do Prince Harry and Prince William have the same parents?,parent/parent,parent/child/spouse
Which electronics companies were founded in Beijing?,industry/foundationPlace,country/deathPlace/birthPlace
Who are the parents of the wife of Juan Carlos I?,spouse/parent,child/parent/spouse
Which movies did Kurosawa direct?,director,series/president/associatedBand
How many people live in the capital of Australia?,capital,capital/part/birthPlace
What country is Sitecore from?,foundationPlace,country/associatedBand/associatedMusicalArtist
What was the last movie with Alec Guinness?,starring,formerTeam/associatedBand/associatedMusicalArtist
Was U.S. president Jackson involved in a war?,battle,battle/birthPlace/associatedBand
Does Neymar play for Real Madrid?,team,formerTeam/team/league
In which city was the president of Montenegro born?,birthPlace,residence/birthPlace/almaMater
Which cities does the Weser flow through?,city,city/location/associatedMusicalArtist
List all the musicals with music by Elton John.,musicBy,musicalArtist/music/associatedBand
What is the biggest stadium in Spain?,location,state/location/birthPlace
Did Che Guevara have children?,child,child/associatedMusicalArtist/associatedBand
What is the capital of Cameroon?,capital,capital/country/birthPlace
Which computer scientist won an oscar?,field/award,occupation/team/formerTeam
Who is the king of the Netherlands?,leader,child/predecessor/birthPlace
Who was John F. Kennedy's vice president?,vicePresident,influenced/successor/associatedBand
Who was the doctoral supervisor of Albert Einstein?,doctoralAdvisor,region/almaMater/deathPlace
Which movies starring Mickey Rourke were directed by Guy Ritchie?,starring/director,director/writer/producer
Which of Tim Burton's films had the highest budget?,director,director/writer/starring
Which airports does Yeti Airlines serve?,targetAirport,party/successor/president
In which city are the headquarters of the United Nations?,location,headquarter/country/location
Give me all professional skateboarders from Sweden.,occupation/birthPlace/birthPlace/country,formerTeam/team/country
Give me all members of Prodigy.,bandMember,country/party/associatedMusicalArtist
Give me the grandchildren of Elvis Presley.,child/child,child/spouse/parent
What did Bruce Carver die from?,deathCause,team/type/associatedBand
